Day,Date,Start,End,Class,Trainer,Location,Attend
Mon,07-12,09:00,10:30,Pralaya Yoga All Levels,Jane,Ballet Studio,x
Mon,07-12,10:00,11:00,Body Power All Levels,Roos,Aerobics,
Mon,07-12,11:15,12:00,Yogalates All Levels,Roos,Aerobics,
Mon,07-12,16:45,17:45,Body Power All Levels,Nancy,Aerobics,
Mon,07-12,18:00,18:45,LBT All Levels,Nancy,Aerobics,
Mon,07-12,18:00,19:15,Power Yoga All Levels,,Body & Mind,
Mon,07-12,19:30,20:15,HiiT All Levels,Henri,Aerobics,
Mon,07-12,19:30,21:00,Hatha Yoga All Levels,,Body & Mind,
Tue,08-12,09:00,10:00,LBT All Levels,Roos,Aerobics,
Tue,08-12,10:15,11:00,Yogalates All Levels,Roos,Aerobics,
Tue,08-12,17:00,18:00,Body Power All Levels,Shamangi,Aerobics,
Tue,08-12,18:15,19:00,LBT All Levels,,Aerobics,
Tue,08-12,19:15,20:15,Yogalates All Levels,Shamangi,Aerobics,
Tue,08-12,19:30,20:15,Pilates All Levels,Iris,Body & Mind,x
Tue,08-12,20:30,21:30,Power Yoga All Levels,Iris,Body & Mind,
Tue,08-12,20:45,21:30,Cardio Killer All Levels,Daria,Aerobics,
Wed,09-12,16:45,17:30,HiiT All Levels,Henri,Aerobics,
Wed,09-12,18:15,19:15,Pilates All Levels,Dayenne,Body & Mind,
Wed,09-12,18:15,19:15,Body Power All levels,Sharmayne,Aerobics,
Wed,09-12,19:30,20:15,Strong Nation ,Sharmayne,Aerobics,
Wed,09-12,20:30,21:30,Body Power All Levels,,Aerobics,
Wed,09-12,21:45,22:15,Cardio Killer All Levels,,Aerobics,
Thu,10-12,08:00,09:00,Body Power All Levels,Nancy,Aerobics,
Thu,10-12,09:15,10:00,LBT All Levels,Nancy,Aerobics,
Thu,10-12,16:45,17:45,LBT All Levels,Cindy,Aerobics,
Thu,10-12,17:45,18:45,Pilates All Levels,Cindy,Body & Mind,
Thu,10-12,18:00,18:30,Power Kick All Levels,,Aerobics,
Thu,10-12,18:45,19:45,Body Power All Levels,Sharmayne,Aerobics,x
Thu,10-12,20:00,20:45,Piloxing Knockout All Levels,Sharmayne,Aerobics,
Thu,10-12,21:15,22:15,Body Power All Levels,Daria,Aerobics,
Fri,11-12,18:00,19:00,Body Power All Levels,Roos,Aerobics,
Fri,11-12,18:30,20:00,Hatha Yoga All Levels,Iris,Body & Mind,
Fri,11-12,19:15,20:00,LBT All Levels,Roos,Aerobics,
Sat,12-12,10:00,11:00,Body Power All Levels,Daria,Aerobics,
Sat,12-12,11:15,12:00,Cardio Killer All Levels,Daria,Aerobics,
Sun,13-12,10:00,11:00,Body Power All Levels,,Aerobics,
Sun,13-12,11:15,12:00,Cardio Killer,,Aerobics,
Sun,13-12,11:30,13:00,Pralaya Yoga All Levels,Jane,Body & Mind,
